user_id time_stamp(seconds) query_length response_length round_index
0 0 14 20 10
1 0 100 56 3
2 0 24 52 2
3 0 42 2 118
4 0 90 18 30
5 0 22 10 1
6 0 28 52 5
7 0 6 2 27
8 0 44 128 7
9 0 22 2 39
10 1 68 20 33
11 1 12 68 20
12 1 32 34 14
13 1 16 30 21
14 1 16 62 16
15 1 60 64 47
16 1 14 2 17
17 1 24 44 11
18 1 22 20 14
19 1 64 14 41
20 2 90 22 23
21 2 34 14 8
22 2 64 82 32
23 2 26 30 57
24 2 28 24 10
25 2 126 100 20
7 2 8 2 28
26 2 54 64 3
27 3 90 62 40
28 3 18 2 35
29 3 98 46 29
30 3 102 88 17
31 3 34 18 21
32 3 44 30 14
33 3 20 26 26
34 3 22 64 15
35 3 24 158 9
36 3 10 2 23
37 3 92 76 24
38 3 30 26 14
39 3 46 32 2
40 3 22 102 4
41 4 12 34 2
42 4 26 32 18
43 4 74 36 25
44 4 58 2 12
45 4 26 78 21
46 4 60 20 35
47 4 18 78 11
48 4 40 52 21
49 4 8 4 78
50 5 30 76 38
51 5 16 32 72
52 5 66 58 19
53 5 22 26 15
54 5 30 64 26
55 5 58 46 4
56 5 86 6 45
57 5 86 68 18
58 5 26 46 39
59 5 10 50 22
60 5 42 42 25
61 5 38 52 3
62 5 44 102 53
63 5 24 52 15
64 5 20 16 27
65 5 14 26 30
66 5 130 4 6
67 5 26 26 2
68 6 46 16 37
69 6 18 84 5
70 6 106 48 49
71 6 72 66 31
72 6 8 6 6
73 6 14 144 4
74 6 24 74 19
66 6 4 2 7
75 6 26 2 48
76 6 56 32 7
77 7 138 68 52
78 7 16 26 10
79 7 84 42 40
80 7 38 6 13
81 7 24 18 7
82 7 12 34 9
83 7 36 30 21
84 7 100 58 35
85 7 22 52 2
86 7 84 22 58
87 7 14 32 7
88 7 20 34 14
89 7 18 150 23
90 7 42 50 16
91 7 86 44 28
75 7 18 2 49
92 8 16 34 16
93 8 20 36 2
94 8 140 50 35
95 8 24 18 15
96 8 14 62 28
97 8 50 66 3
98 8 30 54 28
99 8 58 94 2
100 8 28 18 10
101 8 14 60 12
102 8 36 16 14
103 9 24 30 57
104 9 20 30 19
105 9 14 72 2
106 9 24 2 54
107 9 18 52 7
108 9 22 28 9
109 9 32 34 10
110 9 34 58 34
111 9 26 6 10
112 9 20 58 67
113 10 114 42 1
114 10 8 16 7
115 10 14 2 70
116 10 40 6 26
117 10 2 168 6
118 10 48 54 11
119 10 44 38 6
120 10 18 148 5
121 10 52 16 34
122 10 10 2 46
123 10 44 28 11
124 10 20 74 19
125 10 48 10 34
126 11 12 36 2
127 11 8 28 6
128 11 42 46 15
129 11 22 18 2
130 11 22 92 11
131 11 12 86 27
132 11 20 44 14
133 11 22 6 11
134 11 26 10 8
135 11 8 32 8
136 11 28 40 20
137 11 14 56 20
138 11 24 58 3
139 11 18 80 10
140 11 32 40 13
141 11 4 44 10
66 11 16 6 8
142 12 26 68 13
143 12 26 36 26
144 12 64 6 49
145 12 56 34 25
146 12 62 36 40
147 12 8 2 1
148 12 36 8 19
149 12 128 34 4
150 13 20 38 22
151 13 32 34 7
49 13 8 2 79
152 13 4 88 10
153 14 16 4 10
154 14 20 32 3
106 14 22 2 55
155 14 86 22 15
156 14 76 90 15
157 14 24 16 11
158 14 18 26 22
122 14 24 2 47
159 14 18 18 1
160 14 24 42 19
161 14 58 116 35
162 14 24 76 18
163 15 18 92 9
164 15 28 26 5
3 15 22 2 119
165 15 18 64 21
166 15 86 52 28
167 15 60 74 33
168 15 58 26 2
169 15 10 84 32
170 16 12 34 3
171 16 16 28 21
172 16 6 20 1
173 16 20 86 28
174 16 30 6 25
175 16 100 46 10
176 16 54 18 20
177 16 32 66 10
178 16 10 24 3
179 16 26 6 18
180 16 34 4 2
75 16 14 2 50
181 17 16 32 13
182 17 18 60 20
183 17 24 80 15
184 17 6 46 7
185 17 48 2 42
186 17 58 64 16
187 17 90 80 9
188 17 14 4 2
189 17 50 104 14
190 17 24 70 10
191 17 20 6 16
192 17 16 32 14
193 17 20 60 10
194 17 22 18 27
195 17 96 40 2
196 18 26 24 7
197 18 6 24 2
198 18 20 100 48
199 18 28 26 21
44 18 14 6 13
200 18 6 58 9
201 18 30 48 12
202 18 104 118 48
5 18 28 104 2
203 18 10 20 8
19 18 14 42 42
204 19 48 2 20
205 19 74 74 14
206 19 12 32 18
207 19 20 46 8
208 19 66 2 26
209 19 78 90 29
210 19 84 26 21
211 19 20 22 37
212 19 48 30 15
213 19 96 100 9
214 19 42 28 2
215 19 100 44 9
216 19 96 34 13
217 19 24 92 8
218 19 26 74 12
219 19 22 18 7
220 20 2 44 42
221 20 12 40 7
222 20 102 76 10
223 20 18 42 3
224 20 22 54 24
31 20 18 100 22
225 20 52 18 37
33 20 6 56 27
36 20 50 4 24
226 20 6 92 8
227 20 18 34 8
228 20 52 68 5
229 21 28 102 25
230 21 24 34 18
231 21 34 36 3
80 21 22 66 14
232 21 18 114 3
233 21 8 54 2
234 21 12 10 61
235 21 12 46 14
236 21 26 28 1
179 21 6 4 19
237 21 12 2 1
238 22 16 6 44
239 22 128 4 13
240 22 6 70 12
241 22 30 64 10
242 22 94 26 7
243 22 74 66 54
244 22 26 22 21
245 22 32 68 22
246 22 90 54 2
247 23 16 24 2
13 23 2 10 22
248 23 18 54 2
249 23 18 56 6
250 23 18 28 6
251 23 48 42 6
252 23 42 30 4
253 23 12 96 6
254 23 172 44 17
255 23 46 144 15
256 24 22 24 8
257 24 4 38 1
258 24 22 58 4
259 24 8 26 3
260 24 6 52 20
261 24 14 34 41
262 24 44 30 16
263 24 12 62 20
264 24 30 2 19
265 25 38 52 3
266 25 24 2 18
267 25 14 56 9
268 25 52 24 73
269 25 22 96 50
95 25 12 122 16
270 25 48 2 18
271 25 28 38 23
272 25 42 24 11
273 25 26 14 8
274 25 18 24 5
275 25 102 12 28
276 26 32 188 6
277 26 18 56 9
51 26 20 30 73
21 26 38 36 9
114 26 16 20 8
278 26 22 2 29
279 26 32 66 4
280 26 26 30 8
100 26 10 28 11
281 26 100 12 48
282 26 26 52 43
188 26 18 78 3
283 26 26 66 1
39 26 16 30 3
284 26 16 44 26
204 27 2 2 21
285 27 10 34 12
286 27 24 30 1
287 27 88 44 24
288 27 26 2 14
278 27 14 2 30
289 27 18 38 17
290 27 120 34 16
291 27 6 88 18
292 28 28 10 23
293 28 34 34 62
294 28 60 82 28
204 28 6 2 22
295 28 86 58 30
115 28 30 6 71
296 28 28 30 20
297 28 36 20 34
298 28 14 18 1
299 28 12 42 12
300 28 34 28 13
301 28 50 2 27
302 28 20 32 49
303 28 86 38 13
304 28 12 58 10
23 29 18 22 58
305 29 28 58 2
306 29 12 40 38
307 29 32 66 19
308 29 120 54 1
309 29 34 22 62
310 29 26 72 22
311 29 40 90 5
312 29 72 58 20
48 29 14 66 22
64 29 26 6 28
313 29 22 64 7
314 29 12 52 1
315 30 24 58 34
53 30 26 34 16
316 30 56 154 33
317 30 14 22 1
318 30 58 60 9
134 30 10 20 9
319 30 40 68 35
320 30 104 32 2
148 30 20 70 20
321 30 24 32 7
322 30 46 48 9
323 30 16 26 5
65 30 6 70 31
324 31 44 48 9
325 31 36 20 12
24 31 28 44 11
278 31 14 2 31
326 31 76 26 31
270 31 24 2 19
327 31 46 132 6
122 31 28 2 48
328 31 66 36 45
329 32 32 146 27
330 32 40 28 4
331 32 40 58 50
332 32 20 2 1
333 32 52 62 8
81 32 10 56 8
334 32 52 44 2
335 32 44 30 19
264 32 24 2 20
104 33 4 86 20
197 33 20 10 3
78 33 28 10 11
336 33 96 58 20
41 33 22 46 3
337 33 98 60 20
92 34 28 52 17
93 34 18 80 3
338 34 80 8 43
3 34 40 6 120
339 34 12 32 21
340 34 44 10 13
75 34 22 2 51
341 35 110 4 42
219 35 14 30 8
342 36 16 52 6
343 36 20 62 1
344 36 44 48 34
345 36 22 4 1
346 36 72 54 32
76 36 18 40 8
266 37 8 2 19
347 37 24 14 11
129 37 2 12 3
106 37 32 2 56
348 37 48 38 1
349 37 22 34 1
350 37 38 6 8
351 37 42 60 3
352 37 20 12 47
234 37 28 2 62
353 37 8 58 36
354 37 26 38 7
355 37 16 64 25
356 38 40 58 10
12 38 32 80 15
357 38 38 26 8
115 38 30 4 72
358 38 36 28 1
359 38 24 38 16
15 38 14 50 48
250 38 4 66 7
360 38 20 38 1
252 38 4 16 5
16 38 70 2 18
88 38 28 34 15
361 38 80 102 31
362 38 16 36 22
102 38 16 66 15
363 38 20 44 16
18 38 14 50 15
364 38 16 22 3
181 39 12 122 14
365 39 52 36 4
127 39 20 32 7
366 39 18 14 21
367 39 58 18 6
368 39 28 42 17
369 39 48 98 29
44 39 12 6 14
157 39 28 56 12
370 39 8 20 4
371 39 28 20 1
273 39 28 30 9
38 39 18 26 15
203 39 16 40 9
372 39 60 30 17
153 40 40 4 11
373 40 38 120 19
206 40 28 58 19
266 40 12 2 20
374 40 12 124 33
375 40 84 36 28
83 40 36 42 22
376 40 44 46 3
377 40 84 94 39
378 41 50 36 13
135 41 16 24 9
16 41 8 2 19
379 41 68 36 13
123 41 38 54 12
159 41 22 34 2
380 41 10 92 19
381 41 80 20 9
125 41 56 12 35
113 42 6 16 2
382 42 60 32 1
383 42 40 14 12
214 42 12 56 3
384 42 96 30 40
178 42 14 50 4
385 42 34 54 34
386 42 48 72 9
192 42 12 136 15
387 42 56 46 1
238 43 30 6 45
388 43 46 16 3
231 43 16 26 4
389 43 22 28 1
390 43 20 12 1
391 43 26 58 34
44 43 16 4 15
392 43 112 12 5
309 43 16 28 63
158 43 14 36 23
393 43 16 2 1
394 43 8 66 4
63 43 8 44 16
262 43 24 60 17
